analysis,model,dataset,row_id,entailment_avg_e2x_entail_prob,entailment_avg_x2e_entail_prob,geval_average_faithfulness_score,hitl_num_scored,hitl_avg_score,ragas_avg_faithfulness_score
entailment,mistral_7b_cot,hover_train,0,0.26751006262444627,0.08234244432421887,,,,
entailment,mistral_7b_cot,covid_fact,0,0.37180003859101723,0.2401786406408565,,,,
entailment,mistral_7b_cot,politi_hop,0,0.34391362523853075,0.08310324884248406,,,,
entailment,mistral_7b_non_cot,politi_hop,0,0.39265116175141945,0.07965306750176872,,,,
entailment,mistral_7b_non_cot,hover_train,0,0.28455569718959656,0.07814140973226466,,,,
entailment,mistral_7b_non_cot,covid_fact,0,0.3794285065640165,0.2161202088352631,,,,
entailment,gpt4o_cot,covid_fact,0,0.37469864995346314,0.19820402444495508,,,,
entailment,gpt4o_cot,hover_train,0,0.23395359373333433,0.09371940559588328,,,,
entailment,gpt4o_cot,politi_hop,0,0.4533842832784185,0.08593765116447556,,,,
entailment,deepseek_r1_32b_cot,covid_fact,0,0.24613409509053344,0.15955827598809838,,,,
entailment,deepseek_r1_32b_cot,politi_hop,0,0.39603144606662977,0.054448000416094045,,,,
entailment,deepseek_r1_32b_cot,hover_train,0,0.16858572925667012,0.06518980157518982,,,,
entailment,gpt4o_non_cot,hover_train,0,0.20161376069214695,0.07199664945671584,,,,
entailment,gpt4o_non_cot,politi_hop,0,0.45373129397274653,0.07653361810366595,,,,
entailment,gpt4o_non_cot,covid_fact,0,0.2922172341631016,0.20099019596142517,,,,
geval,mistral_7b_cot,hover_train,0,,,4.3725,,,
geval,mistral_7b_cot,covid_fact,0,,,3.84,,,
geval,mistral_7b_cot,politi_hop,0,,,4.742454728370221,,,
geval,mistral_7b_non_cot,politi_hop,0,,,4.808853118712274,,,
geval,mistral_7b_non_cot,hover_train,0,,,4.3895,,,
geval,mistral_7b_non_cot,covid_fact,0,,,3.973,,,
geval,gpt4o_cot,covid_fact,0,,,4.237,,,
geval,gpt4o_cot,hover_train,0,,,4.5755,,,
geval,gpt4o_cot,politi_hop,0,,,4.907444668008048,,,
geval,deepseek_r1_32b_cot,covid_fact,0,,,3.74,,,
geval,deepseek_r1_32b_cot,politi_hop,0,,,4.78672032193159,,,
geval,deepseek_r1_32b_cot,hover_train,0,,,4.421,,,
geval,gpt4o_non_cot,hover_train,0,,,4.5015,,,
geval,gpt4o_non_cot,politi_hop,0,,,4.907444668008048,,,
geval,gpt4o_non_cot,covid_fact,0,,,4.21,,,
hitl,mistral_7b_cot,hover_train,0,,,,25.0,3.68,
hitl,mistral_7b_cot,covid_fact,0,,,,25.0,3.8,
hitl,mistral_7b_cot,politi_hop,0,,,,0.0,0.0,
hitl,mistral_7b_non_cot,politi_hop,0,,,,25.0,3.76,
hitl,mistral_7b_non_cot,hover_train,0,,,,25.0,3.4,
hitl,mistral_7b_non_cot,covid_fact,0,,,,25.0,3.92,
hitl,gpt4o_cot,covid_fact,0,,,,25.0,4.36,
hitl,gpt4o_cot,hover_train,0,,,,25.0,3.96,
hitl,gpt4o_cot,politi_hop,0,,,,25.0,4.2,
hitl,deepseek_r1_32b_cot,covid_fact,0,,,,25.0,4.56,
hitl,deepseek_r1_32b_cot,politi_hop,0,,,,25.0,4.68,
hitl,deepseek_r1_32b_cot,hover_train,0,,,,24.0,4.416666666666667,
hitl,gpt4o_non_cot,hover_train,0,,,,25.0,4.56,
hitl,gpt4o_non_cot,politi_hop,0,,,,25.0,4.68,
hitl,gpt4o_non_cot,covid_fact,0,,,,25.0,4.32,
ragas,mistral_7b_cot,hover_train,0,,,,,,0.7053206777202657
ragas,mistral_7b_cot,covid_fact,0,,,,,,0.7463572008016123
ragas,mistral_7b_cot,politi_hop,0,,,,,,0.7582016003122561
ragas,mistral_7b_non_cot,politi_hop,0,,,,,,0.8002329016132697
ragas,mistral_7b_non_cot,hover_train,0,,,,,,0.7016951744726659
ragas,mistral_7b_non_cot,covid_fact,0,,,,,,0.7568400013964529
ragas,gpt4o_cot,covid_fact,0,,,,,,0.7579185790782166
ragas,gpt4o_cot,hover_train,0,,,,,,0.709939927864698
ragas,gpt4o_cot,politi_hop,0,,,,,,0.8452445608250093
ragas,deepseek_r1_32b_cot,covid_fact,0,,,,,,0.7493669213396756
ragas,deepseek_r1_32b_cot,politi_hop,0,,,,,,0.8122180024020528
ragas,deepseek_r1_32b_cot,hover_train,0,,,,,,0.6908675056932357
ragas,gpt4o_non_cot,hover_train,0,,,,,,0.716850566313482
ragas,gpt4o_non_cot,politi_hop,0,,,,,,0.8659639043074633
ragas,gpt4o_non_cot,covid_fact,0,,,,,,0.7550153327931098
